exercise id,exercise name,primary muscle,movement pattern
builtin-barbell-pullover,Barbell Pullover,Back,Isolation
builtin-barbell-reverse-curl,Barbell Reverse Curl,Biceps,Isolation
builtin-barbell-reverse-wrist-curl,Barbell Reverse Wrist Curl,Biceps,Isolation
builtin-barbell-rollout,Barbell Rollout,Core,Isolation
builtin-row,Barbell Row,Back,Horizontal Pull
builtin-barbell-shrug,Barbell Shrug,Shoulders,Isolation
builtin-barbell-snatch,Barbell Snatch,Quadriceps,Squat
builtin-barbell-thruster,Barbell Thruster,Quadriceps,Squat
builtin-barbell-wrist-curl,Barbell Wrist Curl,Biceps,Isolation
builtin-barbell-wrist-extension,Barbell Wrist Extension,Biceps,Isolation
builtin-bayesian-cable-curl,Bayesian Cable Curl,Biceps,Isolation
builtin-behind-back-barbell-shrug,Behind-the-Back Barbell Shrug,Shoulders,Isolation
builtin-behind-neck-lat-pulldown,Behind-the-Neck Lat Pulldown,Back,Vertical Pull
builtin-belt-squat,Belt Squat,Quadriceps,Squat
builtin-bench-dip,Bench Dip,Triceps,Horizontal Push
builtin-bench-pin-press,Bench Pin Press,Chest,Horizontal Push
builtin-bicycle-crunch,Bicycle Crunch,Core,Isolation
builtin-block-clean,Block Clean,Quadriceps,Squat
builtin-box-squat,Box Squat,Quadriceps,Squat
builtin-bradford-press,Bradford Press,Shoulders,Vertical Push
builtin-bulgarian-split-squat,Bulgarian Split Squat,Quadriceps,Squat
builtin-burpee,Burpee,Core,Squat
builtin-cable-bench-press,Cable Bench Press,Chest,Horizontal Push
builtin-cable-crossover,Cable Crossover,Chest,Isolation
builtin-cable-crunch,Cable Crunch,Core,Isolation
builtin-cable-curl,Cable Curl,Biceps,Isolation
builtin-cable-external-rotation,Cable External Rotation,Shoulders,Isolation
builtin-cable-fly,Cable Fly,Chest,Isolation
builtin-cable-kickback,Cable Glute Kickback,Glutes,Isolation
builtin-cable-hammer-curl,Cable Hammer Curl,Biceps,Isolation
builtin-cable-hip-abduction,Cable Hip Abduction,Glutes,Isolation
builtin-cable-incline-fly,Cable Incline Fly,Chest,Isolation
builtin-cable-internal-rotation,Cable Internal Rotation,Shoulders,Isolation
builtin-cable-lateral-raise,Cable Lateral Raise,Shoulders,Isolation
builtin-cable-pull-through,Cable Pull-Through,Glutes,Hinge
builtin-cable-pullover,Cable Pullover,Back,Isolation
builtin-cable-rear-delt-fly,Cable Rear Delt Fly,Shoulders,Isolation
builtin-cable-shrug,Cable Shrug,Shoulders,Isolation
builtin-cable-woodchop,Cable Woodchop,Core,Isolation
builtin-cable-wrist-curl,Cable Wrist Curl,Biceps,Isolation
builtin-cable-y-raise,Cable Y-Raise,Shoulders,Isolation
builtin-calf-press-on-leg-press,Calf Press on Leg Press,Calves,Isolation
builtin-captains-chair-knee-raise,Captain's Chair Knee Raise,Core,Isolation
builtin-captains-chair-leg-raise,Captain's Chair Leg Raise,Core,Isolation
builtin-chest-supported-dumbbell-row,Chest-Supported Dumbbell Row,Back,Horizontal Pull
builtin-chest-supported-row,Chest-Supported Row,Back,Horizontal Pull
builtin-chin-up,Chin-Up,Back,Vertical Pull
builtin-close-grip-bench,Close-Grip Bench Press,Triceps,Horizontal Push
builtin-lat-pulldown-close,Close-Grip Lat Pulldown,Back,Vertical Pull
builtin-close-grip-push-up,Close-Grip Push-Up,Triceps,Horizontal Push
builtin-concentration-curl,Concentration Curl,Biceps,Isolation
